,SNO,State,District,ulb,No. of Applications Received,No. of Applications Not Verified,No. of Applications Verified,No. of Applications Approved,No. of Applications Approved having Aadhar No.,No. of Applications Rejected,No. of Applications Pullback,No. of Applications Closed,No. of Constructed Toilet Photo Uploaded,No. of Constructed Toilet Photo Approved,No. of Commenced Toilet Photo ,No. of Constructed Toilet Photo through Swachhalaya
4,3,Bihar,Begusarai ,Barauni (Nagar Parishad),122,112,2,2,2,0,3,5,7,0,0,2
6,4,Bihar,Begusarai ,Begusarai (M Corp.),23771,2350,21190,20183,12496,118,5,108,558,0,6403,51
8,5,Bihar,Begusarai ,Bihat (Nagar Parishad),6905,1328,4926,4747,3750,433,4,214,2395,17,1384,0
10,6,Bihar,Begusarai ,Teghra (NP),7132,2934,3149,2739,854,44,7,998,1279,0,1521,7
0,1,Bihar,Bhagalpur ,Bhagalpur (M Corp.),6189,513,5616,5336,3456,24,6,30,4329,1808,1021,27
2,2,Bihar,Bhagalpur ,Colgong (NP),933,0,931,931,904,1,0,1,329,225,164,1
4,3,Bihar,Bhagalpur ,Kahalgaon,146,145,0,0,0,0,1,0,20,0,2,12
6,4,Bihar,Bhagalpur ,Naugachhia (NP),5264,450,4686,4536,3249,110,6,12,2140,0,1199,530
8,5,Bihar,Bhagalpur ,Sultanganj (Nagar Parishad),4846,548,4212,3301,2680,85,1,0,1364,956,1709,22
0,1,Bihar,Bhojpur,Arrah (M Corp.),8253,1854,6309,5388,3191,79,9,2,3142,1038,1853,16
2,2,Bihar,Bhojpur,Behea (NP),1399,20,1297,858,612,24,2,56,524,454,347,6
4,3,Bihar,Bhojpur,Jagdishpur (NP),1202,119,1068,1048,509,8,3,4,217,2,79,17
6,4,Bihar,Bhojpur,Koilwar (NP),1068,74,918,916,67,65,2,9,577,0,129,4
8,5,Bihar,Bhojpur,Piro (NP),1662,400,1080,854,301,1,0,181,334,17,323,12
10,6,Bihar,Bhojpur,Shahpur (NP),1043,54,980,948,270,1,0,8,505,11,264,3
0,1,Bihar,Buxar ,Buxar (Nagar Parishad),2577,185,2345,1640,818,46,1,0,1342,962,512,27
2,2,Bihar,Buxar ,Dumraon (Nagar Parishad),2036,68,1939,1758,127,22,5,2,1194,803,408,14
0,1,Bihar,Darbhanga,Benipur (Nagar Parishad),6838,2943,3834,3063,1635,38,9,14,1301,587,1814,21
2,2,Bihar,Darbhanga,Darbhanga (M Corp.),6766,534,5837,5711,1182,373,18,4,3925,990,1997,113
0,1,Bihar,Gaya,Bodh Gaya (NP),4696,423,3374,2980,2286,879,1,19,1406,9,2244,4
2,2,Bihar,Gaya,Gaya (M Corp.),11736,3503,8206,7578,6657,8,13,6,3510,643,1622,39
4,3,Bihar,Gaya,Sherghati (NP),2424,735,1672,841,545,4,5,8,972,0,201,8
6,4,Bihar,Gaya,Tikari (NP),2211,1339,832,519,334,4,8,28,560,0,133,19
0,1,Bihar,Gopalganj,Barauli (NP),2268,99,2160,1692,9,4,5,0,887,88,535,7
2,2,Bihar,Gopalganj,Gopalganj (Nagar Parishad),2736,289,2408,1613,214,32,5,2,1283,521,473,25
4,3,Bihar,Gopalganj,Kataiya (NP),1837,286,1499,1097,329,9,3,40,395,219,740,2
6,4,Bihar,Gopalganj,Mirganj (NP),1621,92,1519,1416,470,1,6,3,567,0,322,11
0,1,Bihar,Jamui ,Jamui (Nagar Parishad),7454,1569,5801,5728,753,26,5,53,2784,2162,2309,23
2,2,Bihar,Jamui ,Jhajha (NP),1403,386,1015,990,569,0,0,2,586,322,512,4
0,1,Bihar,Jehanabad ,Jehanabad (Nagar Parishad),4833,1211,3595,2971,1809,13,2,12,1644,115,1306,7
2,2,Bihar,Jehanabad ,Makhdumpur (NP),2163,91,2061,2041,505,5,1,5,566,179,656,5
0,1,Bihar,Kaimur(Bhabua),Bhabua (Nagar Parishad),1167,89,1062,969,656,10,5,1,557,0,112,24
2,2,Bihar,Kaimur(Bhabua),Mohania,1572,130,1010,999,208,416,2,14,664,0,403,23
0,1,Bihar,Katihar ,Barsoi,0,0,0,0,0,0,0,0,0,0,0,0
2,2,Bihar,Katihar ,Katihar (M Corp.),11393,1669,9538,7250,4673,134,14,38,1128,0,4346,31
4,3,Bihar,Katihar ,Manihari (NP),4048,72,3939,3878,3434,35,2,0,268,0,1679,10
0,1,Bihar,Khagaria ,Gogri Jamalpur (NP),4472,1021,3381,2356,690,61,4,5,1518,0,563,9
2,2,Bihar,Khagaria ,Khagaria (Nagar Parishad),1945,329,1447,355,181,166,2,1,207,0,131,12
0,1,Bihar,Kishanganj ,Bahadurganj (NP),6358,582,5748,5742,2932,22,5,1,3506,275,1313,5
2,2,Bihar,Kishanganj ,Kishanganj (Nagar Parishad),8316,2956,5214,4203,1620,126,16,4,2987,0,1394,5
4,3,Bihar,Kishanganj ,Thakurganj (NP),716,248,433,414,131,35,0,0,162,138,270,1
0,1,Bihar,Lakhisarai ,Barahiya (NP),1605,95,1502,1023,643,7,0,1,925,428,295,1
2,2,Bihar,Lakhisarai ,Lakhisarai (Nagar Parishad),5052,60,4956,2582,1527,29,3,4,1652,675,949,9
0,1,Bihar,Madhepura ,Madhepura (Nagar Parishad),5434,1243,4104,4035,3521,60,9,18,916,421,3312,31
2,2,Bihar,Madhepura ,Murliganj (NP),5131,552,4562,4554,2867,11,1,5,1457,1058,3164,3
0,1,Bihar,Madhubani ,Ghoghardiha (NP),2534,1041,1473,1439,473,3,7,10,872,496,289,13
2,2,Bihar,Madhubani ,Jainagar (NP),2117,776,1324,1113,291,9,4,4,896,299,450,37
4,3,Bihar,Madhubani ,Jhanjharpur (NP),5591,673,4758,2645,358,25,15,120,406,0,1483,35
6,4,Bihar,Madhubani ,Madhubani (Nagar Parishad),8581,1299,7109,4947,2611,126,37,10,3004,387,2668,119
0,1,Bihar,Munger ,Jamalpur (Nagar Parishad),2101,46,2022,366,149,31,1,1,488,0,309,4
2,2,Bihar,Munger ,Kharagpur (NP),2462,138,2306,2299,1994,12,4,2,1338,663,477,10
4,3,Bihar,Munger ,Munger (M Corp.),7484,371,7105,6953,3759,1,7,0,2098,0,2946,12
0,1,Bihar,Muzaffarpur ,Kanti (NP),3242,59,3163,1268,691,18,2,0,476,431,751,8
2,2,Bihar,Muzaffarpur ,Motipur (NP),2248,76,2142,2104,694,26,3,1,1130,292,697,0
4,3,Bihar,Muzaffarpur ,Muzaffarpur (M Corp.),6630,661,5182,2510,2113,718,15,54,2165,1059,1274,100
6,4,Bihar,Muzaffarpur ,Sahebganj (NP),2706,604,2094,1000,923,3,4,1,227,0,397,11
0,1,Bihar,Nalanda,Biharsharif (M Corp.),5905,535,5342,5338,3056,19,2,7,4131,446,1055,9
2,2,Bihar,Nalanda,Harnaut,0,0,0,0,0,0,0,0,0,0,0,0
4,3,Bihar,Nalanda,Hilsa (Nagar Parishad),3813,193,3574,3507,3170,22,2,22,2486,307,974,12
6,4,Bihar,Nalanda,Islampur (NP),1272,62,1178,1133,719,16,0,16,791,662,328,1
8,5,Bihar,Nalanda,Rajgir (NP),2481,306,1993,1985,1971,4,0,178,2,0,1985,2
10,6,Bihar,Nalanda,Silao (NP),1176,50,1118,1110,378,5,0,3,735,641,285,0
0,1,Bihar,Nawada ,Hisua (NP),1138,166,957,905,694,5,1,9,678,293,178,1
2,2,Bihar,Nawada ,Nawada (Nagar Parishad),1177,104,1000,812,294,66,3,4,477,270,177,25
4,3,Bihar,Nawada ,Rajauli (NP),0,0,0,0,0,0,0,0,0,0,0,0
6,4,Bihar,Nawada ,Warisaliganj (NP),643,169,470,310,94,3,1,0,237,24,97,10
0,1,Bihar,Paschim Champaran,Bagaha (Nagar Parishad),5846,629,5169,4979,3523,8,14,26,2599,16,864,11
2,2,Bihar,Paschim Champaran,Bettiah (Nagar Parishad),4590,146,3166,3020,1593,1264,4,10,1669,1353,1427,25
4,3,Bihar,Paschim Champaran,Chanpatia (NP),2653,426,1855,1791,1671,0,3,369,925,905,433,10
6,4,Bihar,Paschim Champaran,Narkatiaganj (Nagar Parishad),2640,1348,925,819,554,6,6,355,263,0,364,13
8,5,Bihar,Paschim Champaran,Ramnagar (NP),1426,364,828,819,102,69,1,164,861,0,15,8
0,1,Bihar,Patna ,Bakhtiarpur (NP),2526,8,2507,1422,981,11,0,0,97,0,136,5
2,2,Bihar,Patna ,Barh (Nagar Parishad),1709,326,904,870,523,474,4,1,650,631,220,12
4,3,Bihar,Patna ,Bihta (NP),0,0,0,0,0,0,0,0,0,0,0,0
6,4,Bihar,Patna ,Bikram (NP),1164,114,1018,480,30,26,1,5,110,31,94,9
8,5,Bihar,Patna ,Danapur Cantonment (CB),1,1,0,0,0,0,0,0,0,0,0,0
10,6,Bihar,Patna ,Danapur Nizamat (Nagar Parishad),5644,910,2950,2448,1313,1768,6,10,1556,1288,626,1
12,7,Bihar,Patna ,Fatwah (NP),2257,745,1484,1357,466,7,14,7,729,1,464,2
14,8,Bihar,Patna ,Khagaul (Nagar Parishad),543,160,379,152,13,4,0,0,242,0,48,1
16,9,Bihar,Patna ,Khusrupur (NP),884,5,768,765,701,109,0,2,538,3,22,0
18,10,Bihar,Patna ,Maner (NP),1907,432,1447,1139,799,8,1,19,765,0,299,6
20,11,Bihar,Patna ,Masaurhi (Nagar Parishad),4184,1817,2196,2167,890,18,6,147,1081,30,470,12
22,12,Bihar,Patna ,Mokameh (Nagar Parishad),758,63,682,672,50,11,2,0,68,0,478,19
24,13,Bihar,Patna ,Naubatpur (NP),735,196,535,433,28,1,2,1,318,16,153,7
26,14,Bihar,Patna ,Patna (M Corp.),10608,4034,5642,3748,3068,870,16,46,1238,286,2899,31
28,15,Bihar,Patna ,Phulwari Sharif (Nagar Parishad),1670,120,488,443,314,1047,1,14,312,278,132,5
0,1,Bihar,Purba Champaran,Areraj (NP),4317,1379,2122,2120,1301,749,5,62,1296,696,967,7
2,2,Bihar,Purba Champaran,Chakia (NP),2002,148,1852,1165,727,0,1,1,349,0,601,4
4,3,Bihar,Purba Champaran,Dhaka (NP),5249,1036,4061,3976,1115,50,10,92,457,39,1993,17
6,4,Bihar,Purba Champaran,Kesaria (NP),2358,47,2239,2196,1946,18,2,52,354,0,1658,4
8,5,Bihar,Purba Champaran,Madhuban (NP),0,0,0,0,0,0,0,0,0,0,0,0
10,6,Bihar,Purba Champaran,Mehsi (NP),2610,561,2036,1653,1019,9,1,3,155,40,1550,1
12,7,Bihar,Purba Champaran,Motihari (Nagar Parishad),1406,503,879,861,741,12,3,9,640,460,282,33
14,8,Bihar,Purba Champaran,Pakri Dayal (NP),3200,122,2929,2864,606,144,1,4,806,414,1192,5
16,9,Bihar,Purba Champaran,Raxaul Bazar  (Nagar Parishad),2768,316,1311,1007,888,1125,8,8,396,0,461,4
18,10,Bihar,Purba Champaran,Sugauli (NP),12692,1121,2867,2212,1037,8659,17,28,809,164,458,7
0,1,Bihar,Purnia ,Banmankhi Bazar (NP),3391,756,2628,1304,472,3,4,0,1090,1,1257,13
2,2,Bihar,Purnia ,Kasba (NP),3665,2040,1570,452,311,48,3,4,381,6,403,5
4,3,Bihar,Purnia ,Purnia (M Corp.),8710,838,7326,7114,1283,534,10,2,3830,2339,3079,32
0,1,Bihar,Rohtas,Bikramganj (NP),2423,1473,943,805,249,2,3,2,197,142,614,13
2,2,Bihar,Rohtas,Dehri (Nagar Parishad),2905,864,1941,1083,1077,95,3,2,754,277,759,10
4,3,Bihar,Rohtas,Koath (NP),796,83,712,429,3,1,0,0,77,31,101,0
6,4,Bihar,Rohtas,Kochas,2337,86,2241,1028,386,7,1,2,1044,0,25,2
8,5,Bihar,Rohtas,Nasriganj (NP),2007,49,1874,1839,543,10,0,74,1412,1161,462,0
10,6,Bihar,Rohtas,Nokha (NP),2273,433,1817,1794,681,19,1,3,1290,1284,515,1
12,7,Bihar,Rohtas,Sasaram (Nagar Parishad),2480,434,1909,1866,472,131,5,1,1899,4,50,10
0,1,Bihar,Saharsa ,Saharsa (Nagar Parishad),20723,7107,13445,13183,11547,88,63,20,3499,909,6794,33
2,2,Bihar,Saharsa ,Simari Bakhtiyarpur(NP),5034,1141,3875,2959,1567,10,7,1,1803,51,1454,18
0,1,Bihar,Samastipur,Dalsinghsarai (NP),1512,170,1199,1021,781,132,5,6,963,4,129,27
2,2,Bihar,Samastipur,Rosera (NP),1565,340,900,692,442,305,15,5,533,53,313,42
4,3,Bihar,Samastipur,Samastipur (Nagar Parishad),932,583,108,77,2,157,16,68,215,0,152,91
0,1,Bihar,Saran,Chapra (Nagar Parishad),5886,716,4906,3415,1579,210,14,40,607,0,2012,44
2,2,Bihar,Saran,Dighwara (NP),2768,245,2458,2377,836,1,1,63,864,0,1596,6
4,3,Bihar,Saran,Ekma Bazar (NP),2941,71,2769,2161,493,16,0,85,1583,336,659,16
6,4,Bihar,Saran,Marhaura (NP),3392,289,2946,2892,1335,143,10,4,780,87,276,33
8,5,Bihar,Saran,Parsa Bazar (NP),4712,1389,1873,1458,927,2,7,1441,68,0,215,8
10,6,Bihar,Saran,Revelganj (NP),3082,33,3037,3037,1068,10,2,0,891,0,105,5
12,7,Bihar,Saran,Sonepur (NP),2476,776,1612,1222,744,74,2,12,607,171,761,7
0,1,Bihar,Sheikhpura,Barbigha (NP),2514,409,2094,1918,1090,5,2,4,1360,96,620,5
2,2,Bihar,Sheikhpura,Sheikhpura (Nagar Parishad),4441,1831,2608,2258,1865,1,1,0,1741,0,640,3
0,1,Bihar,Sheohar ,Sheohar (NP),2519,357,2142,1859,156,9,5,6,994,0,564,11
0,1,Bihar,Sitamarhi ,Bairgania (NP),4785,214,4440,4200,3200,105,2,24,2277,842,971,7
2,2,Bihar,Sitamarhi ,Belsand (NP),1278,198,995,990,123,77,3,5,600,482,386,3
4,3,Bihar,Sitamarhi ,Dumra (NP),468,62,333,333,288,69,3,1,327,0,5,7
6,4,Bihar,Sitamarhi ,Janakpur Road (NP),701,63,547,504,133,85,5,1,266,233,145,22
8,5,Bihar,Sitamarhi ,Sitamarhi (Nagar Parishad),2046,898,1121,603,369,15,12,0,484,0,468,42
10,6,Bihar,Sitamarhi ,Sursand,0,0,0,0,0,0,0,0,0,0,0,0
0,1,Bihar,Siwan ,Maharajganj (NP),1571,133,1280,1265,167,148,7,3,430,9,611,27
2,2,Bihar,Siwan ,Mairwa (NP),1538,244,351,308,193,10,2,931,187,0,189,12
4,3,Bihar,Siwan ,Siwan (Nagar Parishad),3950,1906,1982,1496,321,4,16,42,1142,0,491,48
0,1,Bihar,Supaul ,Birpur (NP),2055,1184,750,487,428,119,1,1,277,84,321,2
2,2,Bihar,Supaul ,Nirmali (NP),1361,199,1146,1077,300,13,3,0,312,144,51,6
4,3,Bihar,Supaul ,Supaul (Nagar Parishad),6677,128,6444,4978,957,100,4,1,3942,0,1495,35
0,1,Bihar,Vaishali,Hajipur (Nagar Parishad),5285,3271,1969,925,384,9,5,31,1282,12,631,27
2,2,Bihar,Vaishali,Lalganj (NP),3011,1620,1369,1200,908,5,5,12,633,71,1032,7
4,3,Bihar,Vaishali,Mahnar Bazar (NP),4493,2438,2029,1927,255,4,7,15,1406,0,1315,7
6,4,Bihar,Vaishali,Mahua (NP),2739,1223,1387,1001,555,116,7,6,374,0,558,25
0,1,Chandigarh,Chandigarh ,Chandigarh (M Corp.),6121,4,6117,6117,0,0,0,0,6117,0,0,4
0,1,Chhattisgarh,Balod,Arjunda (NP),579,0,543,543,542,18,2,16,543,69,0,0
2,2,Chhattisgarh,Balod,Balod (M),1744,1,1590,1586,1566,151,0,2,1557,0,1,0
4,3,Chhattisgarh,Balod,Chikhalakasa (NP),604,0,598,598,598,6,0,0,581,0,0,0
6,4,Chhattisgarh,Balod,Dalli-Rajhara (M),4735,922,3405,3405,3399,407,1,0,3423,1,68,0
8,5,Chhattisgarh,Balod,Doundi (NP),1246,96,1123,1115,1112,5,10,12,1031,0,8,1
10,6,Chhattisgarh,Balod,Gunderdehi (NP),1098,162,932,928,915,3,0,1,928,0,6,1
12,7,Chhattisgarh,Balod,Gurur (NP),544,0,499,491,491,44,1,0,491,13,0,0
0,1,Chhattisgarh,Baloda Bazar,Baloda Bazar (M),1668,0,1482,1350,1247,106,0,80,1223,0,1,1
2,2,Chhattisgarh,Baloda Bazar,Bhatapara (M),5765,1062,4657,4657,4653,42,2,2,4653,723,2,1
4,3,Chhattisgarh,Baloda Bazar,Tundra (NP),1093,0,1028,1028,1028,65,0,0,1037,17,0,1
0,1,Chhattisgarh,Baloudabazar-Bhatapara,Bhatgaon (NP),1249,4,1234,1233,1229,9,0,2,1220,250,4,0
2,2,Chhattisgarh,Baloudabazar-Bhatapara,Bilaigarh (NP),756,0,636,636,636,117,0,3,597,0,13,1
4,3,Chhattisgarh,Baloudabazar-Bhatapara,Kasdol (NP),1415,261,1045,1045,1005,108,0,1,1050,984,0,0
6,4,Chhattisgarh,Baloudabazar-Bhatapara,Lawan (NP),1240,110,1060,1059,1040,69,0,1,1053,0,6,0
8,5,Chhattisgarh,Baloudabazar-Bhatapara,Palari (NP),1141,28,933,893,893,177,0,3,935,1,0,3
10,6,Chhattisgarh,Baloudabazar-Bhatapara,Simga (NP),1690,83,1467,1467,1351,137,2,1,1332,1,1,5
0,1,Chhattisgarh,Balrampur,Balrampur (NP),577,0,562,562,562,13,0,2,562,0,0,0
2,2,Chhattisgarh,Balrampur,Kusmi (NP),1104,0,1055,956,955,48,1,0,885,0,1,0
4,3,Chhattisgarh,Balrampur,Rajpur (NP),594,1,545,545,545,46,0,2,581,0,2,0
6,4,Chhattisgarh,Balrampur,Ramanujganj (NP),1268,2,1085,1085,1036,164,1,16,1018,297,0,0
8,5,Chhattisgarh,Balrampur,Wadrafnagar (NP),558,1,527,527,527,30,0,0,484,165,2,2
0,1,Chhattisgarh,Bastar,Bastar (NP),1610,0,1608,1562,1562,1,1,0,1541,59,0,0
2,2,Chhattisgarh,Bastar,Jagdalpur (M Corp.),5165,1,3811,3732,3543,942,2,409,3621,3374,4,0
0,1,Chhattisgarh,Bemetara,Bemetara (M),1832,1,1664,1664,1551,75,91,1,1505,0,2,3
2,2,Chhattisgarh,Bemetara,Berla (NP),718,31,572,571,571,98,0,17,535,2,0,2
4,3,Chhattisgarh,Bemetara,Devkar  (NP),936,0,750,660,654,177,4,5,647,0,4,0
6,4,Chhattisgarh,Bemetara,Khamhariya,708,0,681,681,679,21,6,0,615,0,0,0
8,5,Chhattisgarh,Bemetara,Maro (NP),1287,141,1098,1097,1073,10,37,1,1006,0,15,0
10,6,Chhattisgarh,Bemetara,Nawagarh (NP),1295,111,1005,998,952,174,4,1,888,0,0,2
12,7,Chhattisgarh,Bemetara,Parpondi (NP),597,0,523,521,517,73,0,1,510,0,1,0
14,8,Chhattisgarh,Bemetara,Saja (NP),708,0,542,542,542,59,0,107,540,26,0,0
0,1,Chhattisgarh,Bijapur ,Bhairamgarh (NP),2049,208,1528,1524,1390,298,0,15,1390,6,0,0
2,2,Chhattisgarh,Bijapur ,Bhopalpattanam (NP),526,6,515,515,515,1,4,0,515,15,0,0
4,3,Chhattisgarh,Bijapur ,Bijapur (NP),2230,0,1955,1955,1955,273,2,0,1955,1811,0,0
0,1,Chhattisgarh,Bilaspur,Bilaspur (M Corp.),5926,16,4714,4714,4119,783,0,413,4716,0,0,0
2,2,Chhattisgarh,Bilaspur,Bilha (NP),1493,3,1174,1174,1134,305,2,9,1176,0,0,1
4,3,Chhattisgarh,Bilaspur,Bodri (NP),1398,0,1263,1263,1241,131,0,4,1263,341,0,0
6,4,Chhattisgarh,Bilaspur,Gaurella (NP),2180,128,1935,1840,1815,107,10,0,1800,62,11,0
8,5,Chhattisgarh,Bilaspur,Kota (NP),3100,518,2352,2337,2219,213,2,15,2116,0,8,1
10,6,Chhattisgarh,Bilaspur,Malhar (NP),1844,187,1299,1299,1262,343,0,15,1298,2,1,0
12,7,Chhattisgarh,Bilaspur,Pathariya (NP),1408,306,1099,1096,1024,3,0,0,1045,0,0,0
14,8,Chhattisgarh,Bilaspur,Pendra (NP),1510,0,1405,1405,1384,105,0,0,1405,0,0,0
16,9,Chhattisgarh,Bilaspur,Ratanpur (NP),3676,0,2683,2683,2656,958,1,34,2683,39,3,1
18,10,Chhattisgarh,Bilaspur,Sakari (NP),1577,0,1223,1223,1189,305,0,49,1222,41,2,0
20,11,Chhattisgarh,Bilaspur,Sargaon (NP),829,0,829,829,829,0,0,0,829,0,0,0
22,12,Chhattisgarh,Bilaspur,Sirgitti (NP),1778,10,1270,1270,1227,449,0,49,1255,305,2,0
24,13,Chhattisgarh,Bilaspur,Takhatpur (NP),1488,0,1208,1208,1099,279,1,0,1093,0,4,1
26,14,Chhattisgarh,Bilaspur,Tifra (NP),1946,25,1539,1539,1539,337,2,43,1539,0,0,1
0,1,Chhattisgarh,Dantewada ,Bade Bacheli (M),1849,0,1573,1573,1573,276,0,0,1568,626,5,0
2,2,Chhattisgarh,Dantewada ,Barsur (NP),1102,10,1086,1086,1086,0,6,0,1086,141,0,0
4,3,Chhattisgarh,Dantewada ,Dantewada (NP),1500,0,1367,1366,1278,132,1,0,1368,0,0,0
6,4,Chhattisgarh,Dantewada ,Geedam (NP),718,0,714,714,708,4,0,0,714,0,0,0
8,5,Chhattisgarh,Dantewada ,Kirandul (M),1708,0,1355,1355,1355,346,7,0,1348,11,4,0
0,1,Chhattisgarh,Dhamtari ,Aamadi (NP),834,2,813,813,801,18,0,1,782,0,3,0
2,2,Chhattisgarh,Dhamtari ,Bhakhara (NP),1243,150,1089,1069,1058,3,1,0,1061,1,1,0
4,3,Chhattisgarh,Dhamtari ,Dhamtari (M),7743,0,6142,6142,6082,1317,1,283,6142,862,1,1
6,4,Chhattisgarh,Dhamtari ,Kurud (NP),886,3,834,834,829,49,0,0,847,0,0,1
8,5,Chhattisgarh,Dhamtari ,Magarlod (NP),1088,0,1039,1039,1033,49,0,0,1035,9,0,1
10,6,Chhattisgarh,Dhamtari ,Nagari (NP),1535,1,1477,1477,1421,57,0,0,1456,0,0,0
0,1,Chhattisgarh,Durg ,Ahiwara (NP),2538,1,1943,1943,1936,594,0,0,1943,1,5,2
2,2,Chhattisgarh,Durg ,Bhilai Charoda (M),9171,0,7217,7217,7217,1821,2,131,6920,0,0,0
4,3,Chhattisgarh,Durg ,Bhilai Nagar (M Corp.),23236,178,17938,17921,17921,4729,3,388,17919,1,16,0
6,4,Chhattisgarh,Durg ,Daundi Lohara (NP),1086,0,711,710,710,203,1,171,710,0,1,0
8,5,Chhattisgarh,Durg ,Dhamdha (NP),1093,0,821,821,821,223,1,48,821,0,2,0
10,6,Chhattisgarh,Durg ,Durg (M Corp.),9695,23,7155,7155,6792,1709,0,808,7165,1,1,1
12,7,Chhattisgarh,Durg ,Jamul (M),2503,41,1947,1947,1947,515,0,0,1939,1466,23,0
14,8,Chhattisgarh,Durg ,Kumhari (M),3863,163,2853,2853,2853,817,0,30,2841,26,0,0
16,9,Chhattisgarh,Durg ,Patan (NP),1146,0,1099,1099,1099,45,1,1,1100,667,0,1
18,10,Chhattisgarh,Durg ,Than-Khamharia (NP),0,0,0,0,0,0,0,0,0,0,0,0
20,11,Chhattisgarh,Durg ,Utai (NP),795,3,751,751,751,41,0,0,748,691,0,0
0,1,Chhattisgarh,Gariyaband,Chhura (NP),574,0,572,572,568,2,0,0,572,572,0,0
2,2,Chhattisgarh,Gariyaband,Fingeshwar (NP),1382,0,1295,1295,1295,86,0,1,1295,1222,0,0
4,3,Chhattisgarh,Gariyaband,Gariyaband (NP),2169,184,1118,1118,1118,862,3,2,1386,276,23,1
6,4,Chhattisgarh,Gariyaband,Rajim (NP),1749,0,1586,1586,1586,163,0,0,1597,1497,4,0
0,1,Chhattisgarh,Janjgir-Champa,Adbhar (NP),1597,181,1394,1394,1243,21,1,0,1281,0,5,2
2,2,Chhattisgarh,Janjgir-Champa,Akaltara (M),2696,0,2393,2157,1877,42,0,261,2156,139,3,0
4,3,Chhattisgarh,Janjgir-Champa,Baloda (NP),1741,0,1690,1690,1689,36,15,0,1690,4,0,2
6,4,Chhattisgarh,Janjgir-Champa,Champa (M),4224,644,3135,3135,2952,402,3,40,3135,69,2,14
8,5,Chhattisgarh,Janjgir-Champa,Chandrapur (NP),800,0,797,793,780,1,1,1,718,2,0,3
10,6,Chhattisgarh,Janjgir-Champa,Dabhra (NP),1304,52,1248,1114,1062,0,3,1,1017,1,1,0
12,7,Chhattisgarh,Janjgir-Champa,Jaijepur (NP),1408,175,1227,1227,1173,5,0,1,1232,635,0,4
14,8,Chhattisgarh,Janjgir-Champa,Kharod (NP),1007,68,881,881,880,58,0,0,881,0,0,1
16,9,Chhattisgarh,Janjgir-Champa,Naila-Janjgir (M),2431,3,2337,2336,2307,19,0,72,2338,11,0,4
18,10,Chhattisgarh,Janjgir-Champa,Nawagarh (NP),1894,317,1562,1521,1421,14,1,0,1387,3,11,26
20,11,Chhattisgarh,Janjgir-Champa,Naya Baradwar (NP),1182,172,1009,1008,959,1,0,0,960,18,23,0
22,12,Chhattisgarh,Janjgir-Champa,Rahaud (NP),1269,106,1150,1150,1101,12,0,1,1061,0,3,29
24,13,Chhattisgarh,Janjgir-Champa,Sakti (M),1607,387,1090,1090,975,95,0,35,1089,0,2,3
26,14,Chhattisgarh,Janjgir-Champa,Saragaon (NP),1125,132,921,921,898,69,0,3,868,1,3,1
28,15,Chhattisgarh,Janjgir-Champa,Shivrinarayan (NP),902,0,740,740,740,162,0,0,739,0,1,0
0,1,Chhattisgarh,JashpurNagar ,Bagicha (NP),1571,0,1511,1511,1487,55,0,5,1473,0,2,0
2,2,Chhattisgarh,JashpurNagar ,JashpurNagar (M),1664,2,1546,1546,1492,33,3,80,1546,90,0,0
4,3,Chhattisgarh,JashpurNagar ,Kotba (NP),1505,1,1495,1492,1487,8,0,1,1410,602,6,1
6,4,Chhattisgarh,JashpurNagar ,Kunkuri(NP),959,2,883,864,864,62,11,1,864,0,0,1
8,5,Chhattisgarh,JashpurNagar ,Pathalgaon (NP),1009,14,973,965,965,20,1,1,949,309,0,30
0,1,Chhattisgarh,Kabeerdham,Bodla (NP),953,13,902,902,882,38,0,0,833,713,1,0
2,2,Chhattisgarh,Kabeerdham,Kawardha (M),3501,660,2731,2731,2666,108,0,2,2737,0,0,10
4,3,Chhattisgarh,Kabeerdham,Pandariya (NP),1398,12,1384,1384,1384,2,0,0,1316,154,13,0
6,4,Chhattisgarh,Kabeerdham,Pandatarai (NP),933,0,892,881,867,41,0,0,893,770,0,0
8,5,Chhattisgarh,Kabeerdham,Pipariya (NP),961,1,652,652,647,298,0,10,650,1,0,0
10,6,Chhattisgarh,Kabeerdham,Sahaspur-Lohara (NP),997,23,955,930,930,13,3,3,930,737,0,0
0,1,Chhattisgarh,Kondagaon,Farasgaon (NP),870,0,835,835,835,29,6,0,835,28,2,1
2,2,Chhattisgarh,Kondagaon,Keskal (NP),1162,0,1151,1104,1104,10,1,0,1162,0,0,1
4,3,Chhattisgarh,Kondagaon,Kondagaon (M),2938,0,2895,2895,2849,36,7,0,2895,2545,0,0
6,4,Chhattisgarh,Kondagaon,Visrampuree (NP),0,0,0,0,0,0,0,0,0,0,0,1
0,1,Chhattisgarh,Korba ,Chhurikala (NP),1072,2,1052,1050,1026,16,0,2,1038,0,0,1
2,2,Chhattisgarh,Korba ,Dipka (M),1522,0,1078,1078,1078,435,0,9,1078,883,11,0
4,3,Chhattisgarh,Korba ,Katghora (NP),4251,702,3334,3334,3165,23,2,190,3334,1742,1,0
6,4,Chhattisgarh,Korba ,Korba (M Corp.),31035,37,22679,22641,22597,3498,0,4821,22540,30,9,2
8,5,Chhattisgarh,Korba ,Pali (NP),510,2,474,473,466,33,0,1,474,3,0,0
